Over_Ball,Batting_Team,Bowling_Team,Stadium,Runs_Scored,Extras,Fallen_Wickets,Cumulative_Runs_Scored
18.5,Islamabad United,Lahore Qalandars,Dubai International Cricket Stadium,0,1,5,148
16.6,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,0,0,4,149
5.5,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,6,0,0,55
16.2,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,0,0,3,121
5.3,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,1,0,1,42
5.6,Peshawar Zalmi,Islamabad United,National Stadium Karachi,4,0,0,58
8.2,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,1,91
17.5,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,4,0,5,170
4.6,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,2,0,2,24
11.6,Peshawar Zalmi,Karachi Kings,Gaddafi Stadium Lahore,0,0,3,137
18.2,Peshawar Zalmi,Islamabad United,National Stadium Karachi,0,1,3,185
10.4,Peshawar Zalmi,Karachi Kings,Rawalpindi Cricket Stadium,0,0,3,66
16.6,Lahore Qalandars,Quetta Gladiators,Gaddafi Stadium Lahore,0,1,3,171
2.6,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,1,8
11.5,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,1,0,2,81
18.1,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,1,0,4,179
14.5,Lahore Qalandars,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,9,78
16.3,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,3,122
5.2,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,4,0,2,26
4.2,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,4,0,0,34
14.6,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,6,0,3,126
9.3,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,0,0,1,94
1.1,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,2,0,0,12
5.3,Peshawar Zalmi,Quetta Gladiators,Rawalpindi Cricket Stadium,1,0,2,43
3.3,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,4,0,0,32
7.1,Karachi Kings,Islamabad United,National Stadium Karachi,0,0,1,83
16.4,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,6,0,4,108
4.5,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,4,1,30
12.3,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,4,69
3.5,Multan Sultans,Karachi Kings,Multan Cricket Stadium,1,0,0,29
12.3,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,1,0,2,90
5.3,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,1,0,1,34
17.4,Islamabad United,Lahore Qalandars,National Stadium Karachi,0,0,3,202
5.5,Quetta Gladiators,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,5,21
2.2,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,4,0,0,22
2.1,Peshawar Zalmi,Quetta Gladiators,Gaddafi Stadium Lahore,0,0,1,10
2.6,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,0,11
6.2,Lahore Qalandars,Peshawar Zalmi,Sheikh Zayed Stadium Abu Dhabi,0,0,2,36
8.4,Islamabad United,Quetta Gladiators,National Stadium Karachi,1,0,1,81
16.5,Karachi Kings,Islamabad United,National Stadium Karachi,0,0,6,145
15.4,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,1,0,5,122
6.2,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,4,0,1,58
12.3,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,3,90
11.2,Multan Sultans,Quetta Gladiators,Multan Cricket Stadium,6,0,3,83
3.6,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,0,31
19.2,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,1,0,6,136
1.1,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,4,0,0,13
12.2,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,0,2,2,90
16.6,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,2,0,5,124
9.3,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,4,0,2,72
12.6,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,2,0,2,113
12.1,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,3,84
16.6,Peshawar Zalmi,Karachi Kings,National Stadium Karachi,1,0,4,173
15.4,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,6,0,6,87
10.5,Multan Sultans,Peshawar Zalmi,National Stadium Karachi,0,0,1,86
2.1,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,0,0,1,15
8.5,Lahore Qalandars,Peshawar Zalmi,Sheikh Zayed Stadium Abu Dhabi,1,0,3,45
18.5,Karachi Kings,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,7,107
2.1,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,9
0.1,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,4,0,0,4
13.6,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,1,107
11.5,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,0,0,4,87
7.6,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,2,56
11.6,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,1,0,3,73
12.6,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,1,0,3,101
5.6,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,1,0,1,42
3.4,Quetta Gladiators,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,1,38
8.1,Lahore Qalandars,Quetta Gladiators,Dubai International Cricket Stadium,1,0,4,80
18.4,Peshawar Zalmi,Karachi Kings,National Stadium Karachi,0,1,5,186
6.1,Islamabad United,Lahore Qalandars,National Stadium Karachi,1,0,2,71
7.2,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,0,0,1,81
15.3,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,4,0,5,111
5.1,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,0,0,3,27
8.2,Peshawar Zalmi,Islamabad United,Sharjah Cricket Stadium,4,0,4,51
12.1,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,0,0,2,110
13.6,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,0,2,95
10.2,Islamabad United,Multan Sultans,Dubai International Cricket Stadium,1,0,4,71
6.1,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,0,51
3.5,Peshawar Zalmi,Islamabad United,National Stadium Karachi,0,2,0,31
16.2,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,0,0,3,124
15.6,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,6,0,3,111
10.2,Karachi Kings,Quetta Gladiators,National Stadium Karachi,1,0,1,74
1.1,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,5
8.3,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,1,0,1,81
11.5,Quetta Gladiators,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,3,135
5.3,Islamabad United,Lahore Qalandars,Dubai International Cricket Stadium,4,0,0,43
14.2,Multan Sultans,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,3,113
13.6,Peshawar Zalmi,Lahore Qalandars,Gaddafi Stadium Lahore,4,0,3,124
12.3,Multan Sultans,Islamabad United,Dubai International Cricket Stadium,1,0,4,57
11.2,Karachi Kings,Lahore Qalandars,Dubai International Cricket Stadium,1,0,1,91
19.2,Lahore Qalandars,Peshawar Zalmi,Sheikh Zayed Stadium Abu Dhabi,6,0,7,114
18.3,Lahore Qalandars,Karachi Kings,National Stadium Karachi,4,0,5,141
12.6,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,1,0,3,87
2.2,Islamabad United,Quetta Gladiators,National Stadium Karachi,4,0,0,19
17.6,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,6,0,4,166
17.5,Islamabad United,Karachi Kings,National Stadium Karachi,1,0,6,117
2.3,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,0,5,0,27
0.6,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,0,8
16.1,Lahore Qalandars,Islamabad United,Gaddafi Stadium Lahore,2,0,4,137
4.4,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,6,0,1,23
19.4,Islamabad United,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,3,190
18.5,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,0,0,7,153
17.6,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,1,0,4,137
16.5,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,6,0,3,165
17.3,Multan Sultans,Lahore Qalandars,Dubai International Cricket Stadium,1,0,7,109
15.5,Peshawar Zalmi,Multan Sultans,Multan Cricket Stadium,1,0,8,113
8.5,Quetta Gladiators,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,6,28
3.4,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,0,0,2,17
6.6,Lahore Qalandars,Karachi Kings,Sharjah Cricket Stadium,1,0,2,64
11.1,Islamabad United,Lahore Qalandars,National Stadium Karachi,0,1,2,113
4.4,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,0,0,0,36
1.4,Lahore Qalandars,Multan Sultans,National Stadium Karachi,1,0,0,12
7.4,Lahore Qalandars,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,4,47
15.5,Lahore Qalandars,Multan Sultans,National Stadium Karachi,1,0,5,105
9.3,Islamabad United,Multan Sultans,Dubai International Cricket Stadium,0,0,4,63
3.5,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,1,0,1,18
6.5,Peshawar Zalmi,Islamabad United,National Stadium Karachi,1,0,3,42
5.6,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,1,0,1,37
6.3,Islamabad United,Quetta Gladiators,National Stadium Karachi,1,0,1,57
16.1,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,3,122
17.2,Lahore Qalandars,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,4,143
6.2,Peshawar Zalmi,Multan Sultans,Multan Cricket Stadium,1,0,4,49
7.5,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,0,0,2,55
16.6,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,5,134
10.5,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,2,0,2,73
17.1,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,3,150
11.2,Islamabad United,Lahore Qalandars,Sharjah Cricket Stadium,0,0,4,73
6.4,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,2,0,2,31
14.6,Islamabad United,Quetta Gladiators,Sharjah Cricket Stadium,0,0,4,97
7.3,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,1,72
9.4,Lahore Qalandars,Quetta Gladiators,Gaddafi Stadium Lahore,1,0,3,61
18.2,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,4,0,6,114
15.5,Lahore Qalandars,Quetta Gladiators,Gaddafi Stadium Lahore,1,0,3,153
17.6,Peshawar Zalmi,Multan Sultans,Multan Cricket Stadium,4,0,9,121
6.1,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,1,0,0,48
19.3,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,8,149
3.5,Multan Sultans,Karachi Kings,Sheikh Zayed Stadium Abu Dhabi,0,4,2,24
7.3,Multan Sultans,Quetta Gladiators,Sharjah Cricket Stadium,2,0,2,57
2.6,Lahore Qalandars,Quetta Gladiators,Gaddafi Stadium Lahore,0,0,0,23
10.3,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,1,0,3,69
4.2,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,1,0,0,29
7.6,Karachi Kings,Lahore Qalandars,Gaddafi Stadium Lahore,6,0,1,68
17.1,Islamabad United,Multan Sultans,Sharjah Cricket Stadium,0,0,3,154
17.3,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,0,1,5,128
7.2,Peshawar Zalmi,Karachi Kings,National Stadium Karachi,1,0,0,75
1.4,Peshawar Zalmi,Quetta Gladiators,Rawalpindi Cricket Stadium,0,1,0,9
14.3,Lahore Qalandars,Islamabad United,Gaddafi Stadium Lahore,4,0,4,115
6.6,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,1,0,2,38
10.6,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,3,79
11.2,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,1,0,4,61
14.2,Islamabad United,Karachi Kings,Dubai International Cricket Stadium,2,0,5,115
11.3,Islamabad United,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,2,95
0.4,Karachi Kings,Multan Sultans,Dubai International Cricket Stadium,0,0,0,1
15.2,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,1,0,2,118
4.6,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,0,0,2,23
2.1,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,6
16.3,Peshawar Zalmi,Karachi Kings,Rawalpindi Cricket Stadium,4,0,4,118
4.3,Peshawar Zalmi,Karachi Kings,National Stadium Karachi,1,0,0,41
6.5,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,1,0,1,51
11.2,Karachi Kings,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,2,83
13.3,Multan Sultans,Peshawar Zalmi,Dubai International Cricket Stadium,1,0,2,117
0.6,Lahore Qalandars,Multan Sultans,Gaddafi Stadium Lahore,0,0,0,3
10.6,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,0,0,2,104
1.3,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,0,0,0,9
13.3,Quetta Gladiators,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,3,144
5.5,Peshawar Zalmi,Islamabad United,Sharjah Cricket Stadium,1,0,2,34
16.2,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,6,117
17.2,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,6,0,5,144
8.3,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,6,0,1,67
9.4,Lahore Qalandars,Karachi Kings,Sharjah Cricket Stadium,4,0,2,91
10.5,Quetta Gladiators,Peshawar Zalmi,National Stadium Karachi,1,0,2,72
16.4,Quetta Gladiators,Karachi Kings,Sharjah Cricket Stadium,6,0,3,142
19.2,Peshawar Zalmi,Quetta Gladiators,Gaddafi Stadium Lahore,1,0,8,155
19.1,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,2,0,6,140
1.1,Quetta Gladiators,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,0,1
4.2,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,26
16.4,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,1,0,5,119
1.5,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,0,3
8.1,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,1,0,3,48
7.2,Karachi Kings,Quetta Gladiators,National Stadium Karachi,1,0,1,47
5.5,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,40
14.4,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,0,0,6,83
16.3,Lahore Qalandars,Multan Sultans,National Stadium Karachi,1,0,5,115
15.6,Islamabad United,Quetta Gladiators,Rawalpindi Cricket Stadium,0,0,5,157
2.6,Islamabad United,Quetta Gladiators,Rawalpindi Cricket Stadium,6,0,1,26
18.6,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,1,0,5,167
6.5,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,2,0,1,46
4.1,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,4,0,0,38
10.5,Multan Sultans,Karachi Kings,Gaddafi Stadium Lahore,4,0,5,57
10.1,Multan Sultans,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,2,74
8.5,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,0,0,0,79
17.6,Karachi Kings,Islamabad United,National Stadium Karachi,1,0,7,154
8.2,Lahore Qalandars,Islamabad United,Gaddafi Stadium Lahore,1,0,1,76
10.4,Karachi Kings,Islamabad United,Dubai International Cricket Stadium,1,0,3,64
16.4,Islamabad United,Peshawar Zalmi,Sharjah Cricket Stadium,0,0,6,131
18.4,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,1,0,4,182
11.7,Peshawar Zalmi,Islamabad United,National Stadium Karachi,1,0,0,134
19.1,Multan Sultans,Islamabad United,Gaddafi Stadium Lahore,1,0,7,155
10.6,Multan Sultans,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,73
14.3,Islamabad United,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,2,131
12.1,Islamabad United,Lahore Qalandars,National Stadium Karachi,1,0,2,129
11.4,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,4,80
11.6,Lahore Qalandars,Multan Sultans,Gaddafi Stadium Lahore,1,0,4,91
5.3,Karachi Kings,Lahore Qalandars,Gaddafi Stadium Lahore,0,0,1,39
9.5,Peshawar Zalmi,Karachi Kings,National Stadium Karachi,1,0,0,87
15.6,Lahore Qalandars,Karachi Kings,Dubai International Cricket Stadium,1,0,6,109
15.1,Karachi Kings,Quetta Gladiators,National Stadium Karachi,1,0,4,126
13.3,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,3,96
13.2,Quetta Gladiators,Peshawar Zalmi,Sharjah Cricket Stadium,1,0,3,144
6.3,Peshawar Zalmi,Quetta Gladiators,Dubai International Cricket Stadium,1,0,1,50
7.3,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,4,0,2,43
18.4,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,6,0,4,172
5.3,Karachi Kings,Quetta Gladiators,National Stadium Karachi,1,0,1,37
6.4,Peshawar Zalmi,Lahore Qalandars,Dubai International Cricket Stadium,0,0,1,53
6.1,Karachi Kings,Quetta Gladiators,National Stadium Karachi,1,0,1,41
12.2,Peshawar Zalmi,Karachi Kings,Gaddafi Stadium Lahore,0,0,3,137
19.4,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,4,0,7,180
13.1,Karachi Kings,Quetta Gladiators,Dubai International Cricket Stadium,0,0,2,88
16.3,Multan Sultans,Quetta Gladiators,Sharjah Cricket Stadium,6,0,3,134
9.3,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,1,70
11.3,Karachi Kings,Peshawar Zalmi,National Stadium Karachi,1,0,2,105
9.6,Quetta Gladiators,Multan Sultans,Sharjah Cricket Stadium,1,0,4,76
16.4,Karachi Kings,Peshawar Zalmi,Sharjah Cricket Stadium,6,0,3,128
2.3,Lahore Qalandars,Islamabad United,Gaddafi Stadium Lahore,0,0,1,22
8.3,Lahore Qalandars,Multan Sultans,Gaddafi Stadium Lahore,4,0,3,77
9.1,Peshawar Zalmi,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,58
17.1,Islamabad United,Lahore Qalandars,Gaddafi Stadium Lahore,1,0,2,159
11.5,Peshawar Zalmi,Karachi Kings,Gaddafi Stadium Lahore,0,0,2,137
9.6,Peshawar Zalmi,Multan Sultans,Multan Cricket Stadium,1,0,4,85
2.4,Islamabad United,Karachi Kings,National Stadium Karachi,1,0,0,20
11.5,Peshawar Zalmi,Multan Sultans,Dubai International Cricket Stadium,4,0,3,75
13.6,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,1,0,3,83
2.3,Islamabad United,Karachi Kings,Sharjah Cricket Stadium,0,0,1,9
2.5,Karachi Kings,Quetta Gladiators,National Stadium Karachi,0,0,0,26
4.6,Quetta Gladiators,Islamabad United,Sheikh Zayed Stadium Abu Dhabi,1,0,1,41
19.7,Islamabad United,Quetta Gladiators,Sharjah Cricket Stadium,0,0,7,134
12.1,Lahore Qalandars,Islamabad United,Gaddafi Stadium Lahore,1,0,3,97
6.5,Multan Sultans,Lahore Qalandars,Sharjah Cricket Stadium,1,0,0,71
9.6,Multan Sultans,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,68
6.4,Islamabad United,Lahore Qalandars,Gaddafi Stadium Lahore,4,0,0,63
0.3,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,0,0,0,1
19.5,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,0,0,7,124
2.1,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,1,13
17.4,Karachi Kings,Islamabad United,Sharjah Cricket Stadium,4,0,4,124
11.6,Islamabad United,Lahore Qalandars,Sharjah Cricket Stadium,2,0,4,77
9.5,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,0,0,2,62
11.2,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,1,0,3,73
2.5,Peshawar Zalmi,Quetta Gladiators,Gaddafi Stadium Lahore,0,0,0,34
16.3,Multan Sultans,Quetta Gladiators,Dubai International Cricket Stadium,2,0,3,115
19.3,Quetta Gladiators,Lahore Qalandars,Dubai International Cricket Stadium,0,0,8,133
2.4,Lahore Qalandars,Islamabad United,Dubai International Cricket Stadium,1,0,0,17
8.2,Quetta Gladiators,Islamabad United,Sharjah Cricket Stadium,1,0,2,60
10.3,Islamabad United,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,77
5.7,Lahore Qalandars,Quetta Gladiators,Sharjah Cricket Stadium,1,0,3,48
5.3,Peshawar Zalmi,Islamabad United,Dubai International Cricket Stadium,0,0,0,53
4.2,Islamabad United,Karachi Kings,Rawalpindi Cricket Stadium,4,0,1,34
11.4,Peshawar Zalmi,Karachi Kings,Sharjah Cricket Stadium,0,0,2,74
6.1,Peshawar Zalmi,Karachi Kings,Dubai International Cricket Stadium,1,0,2,38
19.7,Peshawar Zalmi,Karachi Kings,Rawalpindi Cricket Stadium,0,0,7,150
14.1,Islamabad United,Quetta Gladiators,Dubai International Cricket Stadium,1,0,5,63
12.4,Lahore Qalandars,Quetta Gladiators,Dubai International Cricket Stadium,0,0,6,89
